,df1,df2,df3,df4,df5,df6,df7,df8,df9,df10,df11,df12,df13,df14,df15,df16,df17,df18,df19,df20,df21,df22,df23,df24,df25,df26,df27,df28,df29,df30,df31,df32,df33,df34,df35,df36,df37,df38,df39,df40,df41,df42,df43,df44,df45,df46,df47,df48,df49,df50,word,idf
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09621051058155385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spire,3.912023
11,0.011557276552492444,0.007829873847433229,0.015136468379397635,0.02961985759840786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012267499700868828,0.013234075511512813,0.0,0.01334467910095156,0.020496789361861355,0.0,0.010353893283938017,0.02215371155880605,0.0,0.014643803531764931,0.0,0.022666557819353145,0.011817337100722518,0.0,0.0,0.020293711195982046,0.012588629309636565,0.0,0.0,0.011603379609021136,0.0,0.040152264172924876,0.0,0.0,0.019097595369270914,0.0,0.02476504079019238,0.0,0.013936945047174553,0.0,0.0,0.015549127884579262,0.018800847583957253,0.0,0.06360987154816673,step,0.7765288
12,0.013309622137841119,0.007274907708044583,0.0,0.0,0.0,0.0,0.0,0.03247900149726829,0.0,0.0,0.021417768413924194,0.0,0.0,0.025805219464054934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154729610172918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023370698673360606,0.0,0.0,0.020381497941032344,0.0,0.0,0.0,0.0,0.0,0.06304902012096929,0.0,0.0,0.04676058208923175,0.027175185967738474,0.0,0.0,0.0,0.0,0.0,0.0,forward,1.5141277
13,0.0,0.009946235989013752,0.00998716045813174,0.0,0.016372646960695455,0.0,0.0,0.0,0.0,0.012874720782477861,0.012271042703118226,0.01536102014545347,0.0,0.0,0.0,0.0,0.014784471165316908,0.0,0.014908032163394574,0.0,0.0,0.01958441428165574,0.0,0.0,0.007795318529553929,0.009479997134173874,0.0,0.0,0.014784430968039844,0.01523852596160041,0.02267115581691042,0.0,0.0,0.011677324488452623,0.021947820698800517,0.0,0.017189974948580964,0.0,0.0,0.021334912878368473,0.042619481053196046,0.0,0.015823131637913542,0.0,0.0,0.0,0.0,0.021003400558408925,0.0,0.0,address,0.86750054
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2685966069159035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zhmyhov,3.912023
15,0.016056198939026798,0.017612450219471335,0.012419870746101114,0.0,0.04272933756028354,0.0,0.0,0.013667536749127455,0.03225294651438471,0.0160107939269486,0.015260069659592248,0.019102715485005462,0.0,0.0,0.0,0.0,0.018385728525387512,0.0,0.0,0.016818155213198356,0.0,0.0,0.0,0.051591361173634144,0.0,0.0,0.0,0.016417493737122976,0.018385678536705787,0.0,0.016651524232420216,0.0,0.0,0.0,0.027293953810039944,0.0,0.0,0.0,0.0,0.02653175158639964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,said:,1.0788096
16,0.002046215623754372,0.001967866114548473,0.002290690782006407,0.00446460314996064,0.00503144189664028,0.0,0.004011908974370921,0.004321650198548229,0.0014723126705728149,0.0029529919280825603,0.0047703376540401176,0.0035232584273495638,0.004542828877231749,0.0029822732882377125,0.0025722841846666372,0.0027643999400799417,0.006104554951251749,0.004000641078724602,0.004221241934106179,0.004982722633103195,0.0040194679972127695,0.003963415898344648,0.003214552763861052,0.0015281126601135316,0.002914911630057096,0.002805954231570492,0.005231092101231733,0.004523614495212144,0.004543370755453092,0.004682917682785005,0.0033583530220578205,0.0,0.0036572892578597,0.002678352838760735,0.003983549804441871,0.005733433867769543,0.0043114429610833635,0.0036883498718586582,0.0031964952578702657,0.006772442236777857,0.0050571293027674505,0.004384650065060308,0.0039686229751143085,0.00440858985228589,0.0015599009886542038,0.0,0.0016696238518514128,0.005267893860650558,0.0054877458965817815,0.0,your,0.08338159
17,0.0,0.018983420619864442,0.0,0.0,0.028576671877933123,0.0,0.0,0.04025688495004194,0.0,0.0,0.05588833877449352,0.0,0.025801536197593174,0.0,0.0,0.023919989969241585,0.09390472633503454,0.0,0.0,0.0,0.0,0.02018871241356987,0.0,0.0,0.0,0.0,0.0,0.0,0.0794637988098487,0.0,0.0,0.0,0.0,0.0,0.0,0.07995472420045163,0.0,0.0,0.0,0.07814763484758658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excel,1.5141277
18,0.013716905104486522,0.010376428345211876,0.007528373624093943,0.020124115085426802,0.012341786642182296,0.0,0.010680468046136727,0.014027137538711765,0.019550302640180935,0.0,0.019412113341150727,0.0,0.0,0.0,0.0,0.010330643608344237,0.0,0.0,0.0,0.0,0.0,0.0,0.017437603565632977,0.011984339186454048,0.015333453671711789,0.012099350555471537,0.011273588512131477,0.009951555000126237,0.0,0.011486880320018789,0.01009341388449365,0.010601071619035897,0.0,0.0149038064607066,0.0,0.0,0.0,0.0,0.020225314597659156,0.01608236856303573,0.0,0.020855008484855782,0.025031322292527948,0.011736508317276882,0.0,0.0,0.013094151417405725,0.0,0.0,0.0,move,0.65392643
19,0.017849420196915287,0.012978714057746492,0.0,0.0,0.0,0.019332266362417253,0.0,0.012258409526451878,0.0,0.014360076171933057,0.0,0.0,0.016488142710956277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013727045976165942,0.0,0.016741498246131803,0.0,0.01824672825589887,0.010573703558815643,0.0,0.014724845107181469,0.016490109451436037,0.0,0.014934746986773275,0.0,0.0,0.01302453637416173,0.0,0.0,0.0,0.0,0.017675038007947046,0.049939249586654556,0.01992062956885672,0.0,0.0,0.0,0.03064857281361273,0.023205554860437468,0.0,0.0,0.0,0.0,touch,0.967584
